dataset,eval_model,model,score,attack,adv_a_position,removal,adv_per_query,success_injection_rate,inference_time,correct_answer_pct,incorrect_answer_pct,false_removal_rate,success_removal_rate
msmarco,contriever,mistralai/Mistral,dot,none,end,kmeans_ngram,3,0.00%,9.75,83.00%,5.00%,0.30%,1.00%
msmarco,contriever,mistralai/Mistral,dot,none,start,kmeans_ngram,3,0.00%,9.61,83.00%,5.00%,0.30%,1.00%
msmarco,contriever,mistralai/Mistral,cos,none,end,kmeans_ngram,3,0.00%,5.74,83.00%,3.00%,0.00%,1.00%
msmarco,contriever,mistralai/Mistral,cos,none,start,kmeans_ngram,3,0.00%,8.06,84.00%,3.00%,0.43%,1.00%
msmarco,contriever,mistralai/Mistral,dot,none,start,drift,5,0.00%,22.95,84.00%,4.00%,0.09%,1.00%
msmarco,contriever,mistralai/Mistral,dot,none,end,drift,5,0.00%,24.05,84.00%,4.00%,0.09%,1.00%
msmarco,contriever,mistralai/Mistral,dot,none,start,kmeans_ngram,5,0.00%,9.61,83.00%,5.00%,0.30%,1.00%
msmarco,contriever,mistralai/Mistral,dot,none,end,kmeans_ngram,5,0.00%,9.73,83.00%,5.00%,0.30%,1.00%
msmarco,contriever,mistralai/Mistral,dot,hotflip,start,drift,5,,,,,,
msmarco,contriever,mistralai/Mistral,dot,hotflip,end,drift,5,,,,,,
msmarco,contriever,mistralai/Mistral,dot,hotflip,start,kmeans_ngram,5,,,,,,
nq,contriever,gpt,cos,hotflip,end,drift,3,0.40%,87.70,49.00%,41.00%,0.38%,0.32%
nq,contriever,gpt,cos,hotflip,start,drift,3,0.16%,99.04,60.00%,23.00%,0.33%,0.73%
nq,contriever,gpt,dot,hotflip,end,drift,3,0.03%,254.78,66.00%,9.00%,0.11%,0.95%
nq,contriever,gpt,dot,hotflip,start,drift,3,0.01%,105.97,73.00%,3.00%,0.06%,0.98%
nq,contriever,gpt,cos,hotflip,end,kmeans_ngram,3,0.00%,96.68,79.00%,1.00%,0.23%,0.99%
nq,contriever,gpt,cos,hotflip,start,kmeans_ngram,3,0.01%,81.35,77.00%,2.00%,0.24%,0.98%
nq,contriever,gpt,dot,hotflip,end,kmeans_ngram,3,,,,,,
nq,contriever,gpt,dot,hotflip,start,kmeans_ngram,3,,,,,,
nq,contriever,gpt,cos,hotflip,end,none,3,0.60%,79.25,30.00%,61.00%,,
nq,contriever,gpt,cos,hotflip,start,none,3,0.58%,81.20,32.00%,63.00%,,
nq,contriever,gpt,dot,hotflip,end,none,3,0.60%,94.93,28.00%,55.00%,,
nq,contriever,gpt,dot,hotflip,start,none,3,0.60%,89.64,30.00%,63.00%,,
nq,contriever,gpt,dot,none,start,all,3,0.00%,78.88,78.00%,1.00%,,
nq,contriever,gpt,cos,none,end,drift,3,0.00%,116.42,56.00%,0.00%,0.00%,1.00%
nq,contriever,gpt,cos,none,start,drift,3,0.00%,,,,0.38%,1.00%
nq,contriever,gpt,dot,none,end,drift,3,,,,,,
nq,contriever,gpt,dot,none,start,drift,3,0.00%,,,,0.07%,1.00%
nq,contriever,gpt,cos,none,end,kmeans_ngram,3,0.00%,115.29,50.00%,0.00%,0.00%,1.00%
nq,contriever,gpt,cos,none,start,kmeans_ngram,3,,,,,,
nq,contriever,gpt,dot,none,end,kmeans_ngram,3,0.00%,208.08,44.00%,1.00%,0.00%,1.00%
nq,contriever,gpt,dot,none,start,kmeans_ngram,3,,,,,,
nq,contriever,gpt,cos,none,end,none,3,,,,,,
nq,contriever,gpt,cos,none,start,none,3,,,,,,
nq,contriever,gpt,dot,none,end,none,3,,,,,,
nq,contriever,gpt,dot,none,start,none,3,,,,,,
msmarco,contriever,gpt,cos,hotflip,end,drift,3,0.42%,83.04,51.00%,41.00%,0.25%,0.29%
msmarco,contriever,gpt,cos,hotflip,start,drift,3,0.11%,83.64,78.00%,9.00%,0.22%,0.81%
msmarco,contriever,gpt,dot,hotflip,end,drift,3,0.05%,88.99,77.00%,7.00%,0.16%,0.92%
msmarco,contriever,gpt,dot,hotflip,start,drift,3,0.02%,90.78,79.00%,5.00%,0.08%,0.97%
msmarco,contriever,gpt,cos,hotflip,end,kmeans_ngram,3,0.03%,75.87,82.00%,7.00%,0.47%,0.95%
msmarco,contriever,gpt,cos,hotflip,start,kmeans_ngram,3,0.04%,79.35,79.00%,8.00%,0.45%,0.93%
msmarco,contriever,gpt,dot,hotflip,end,kmeans_ngram,3,,,,,,
msmarco,contriever,gpt,dot,hotflip,start,kmeans_ngram,3,,,,,,
msmarco,contriever,gpt,cos,hotflip,end,none,3,0.58%,74.41,49.00%,46.00%,,
msmarco,contriever,gpt,cos,hotflip,start,none,3,0.50%,62.84,50.00%,43.00%,,
msmarco,contriever,gpt,dot,hotflip,end,none,3,0.59%,66.59,43.00%,51.00%,,
msmarco,contriever,gpt,dot,hotflip,start,none,3,0.59%,101.64,42.00%,53.00%,,
msmarco,contriever,gpt,dot,none,start,all,3,0.00%,79.40,86.00%,2.00%,,
msmarco,contriever,gpt,cos,none,end,drift,3,0.00%,126.33,64.00%,2.00%,0.00%,1.00%
msmarco,contriever,gpt,cos,none,start,drift,3,0.00%,125.47,82.00%,1.00%,0.25%,1.00%
msmarco,contriever,gpt,dot,none,end,drift,3,0.00%,136.74,39.00%,0.00%,0.00%,1.00%
msmarco,contriever,gpt,dot,none,start,drift,3,0.00%,126.47,82.00%,2.00%,0.09%,1.00%
msmarco,contriever,gpt,cos,none,end,kmeans_ngram,3,0.00%,115.09,75.00%,2.00%,0.00%,1.00%
msmarco,contriever,gpt,cos,none,start,kmeans_ngram,3,,,,,,
msmarco,contriever,gpt,dot,none,end,kmeans_ngram,3,0.00%,174.60,16.00%,0.00%,0.00%,1.00%
msmarco,contriever,gpt,dot,none,start,kmeans_ngram,3,,,,,,
msmarco,contriever,gpt,cos,none,end,none,3,,,,,,
msmarco,contriever,gpt,cos,none,start,none,3,,,,,,
msmarco,contriever,gpt,dot,none,end,none,3,,,,,,
msmarco,contriever,gpt,dot,none,start,none,3,,,,,,
hotpotqa,contriever,gpt,cos,hotflip,end,drift,3,0.48%,90.11,35.00%,61.00%,0.32%,0.20%
hotpotqa,contriever,gpt,cos,hotflip,start,drift,3,0.32%,90.34,43.00%,52.00%,0.30%,0.47%
hotpotqa,contriever,gpt,dot,hotflip,end,drift,3,0.03%,85.01,77.00%,14.00%,0.13%,0.95%
hotpotqa,contriever,gpt,dot,hotflip,start,drift,3,0.01%,102.02,76.00%,11.00%,0.09%,0.98%
hotpotqa,contriever,gpt,cos,hotflip,end,kmeans_ngram,3,0.00%,83.48,76.00%,5.00%,0.42%,0.99%
hotpotqa,contriever,gpt,cos,hotflip,start,kmeans_ngram,3,0.00%,74.86,79.00%,2.00%,0.41%,1.00%
hotpotqa,contriever,gpt,dot,hotflip,end,kmeans_ngram,3,,,,,,
hotpotqa,contriever,gpt,dot,hotflip,start,kmeans_ngram,3,,,,,,
hotpotqa,contriever,gpt,cos,hotflip,end,none,3,0.60%,75.91,31.00%,63.00%,,
hotpotqa,contriever,gpt,cos,hotflip,start,none,3,0.60%,98.32,34.00%,64.00%,,
hotpotqa,contriever,gpt,cos,none,end,drift,3,0.00%,123.03,63.00%,6.00%,0.00%,1.00%
hotpotqa,contriever,gpt,cos,none,start,drift,3,0.00%,,,,0.32%,1.00%
hotpotqa,contriever,gpt,dot,none,end,drift,3,0.00%,208.22,23.00%,3.00%,0.00%,1.00%
hotpotqa,contriever,gpt,dot,none,start,drift,3,0.00%,,,,0.08%,1.00%
hotpotqa,contriever,gpt,cos,none,end,kmeans_ngram,3,0.00%,93.13,81.00%,6.00%,0.00%,1.00%
hotpotqa,contriever,gpt,cos,none,start,kmeans_ngram,3,,,,,,
hotpotqa,contriever,gpt,dot,none,end,kmeans_ngram,3,0.00%,227.28,21.00%,1.00%,0.00%,1.00%
hotpotqa,contriever,gpt,dot,none,start,kmeans_ngram,3,,,,,,
hotpotqa,contriever,gpt,cos,none,end,none,3,,,,,,
hotpotqa,contriever,gpt,cos,none,start,none,3,,,,,,
hotpotqa,contriever,gpt,dot,none,end,none,3,,,,,,
